timestamp,open,high,low,close,volume
2025-09-19,431.8000,437.8000,430.8000,434.8000,38165306
2025-09-18,438.7000,439.4000,431.6000,433.3000,8916100
2025-09-17,441.7000,444.2080,439.0000,439.7000,8732635
2025-09-16,438.4000,440.1000,432.5000,438.6000,8630721
2025-09-15,441.3000,443.8000,437.9000,439.7000,6857543
2025-09-12,438.4000,439.1000,434.5000,438.9000,8732541
2025-09-11,436.8000,438.6000,434.5000,437.7000,13387210
2025-09-10,439.3000,440.0000,434.6000,435.2000,7663878
2025-09-09,442.2000,443.8000,437.5000,438.9000,18891211
2025-09-08,440.6000,445.0000,437.8000,440.0000,10638220
2025-09-05,439.7000,442.6000,434.7000,441.0000,10087160
2025-09-04,431.4000,440.3679,430.5000,438.8000,9849581
2025-09-03,423.8000,431.3000,420.1000,431.1000,11350260
2025-09-02,428.3000,429.5450,420.4000,424.9000,8720295
2025-09-01,434.0000,434.5000,429.0000,431.0000,8043861
2025-08-29,421.9000,424.5000,420.5000,422.7000,10804330
2025-08-28,428.5000,428.5000,417.0000,422.5000,5299436
2025-08-27,432.5000,432.5000,424.0000,427.1000,21260561
2025-08-26,427.7000,432.9000,424.6000,432.0000,20617020
2025-08-22,432.0000,432.1000,426.3000,426.3000,6046292
2025-08-21,428.3000,431.5000,426.8000,431.5000,8372815
2025-08-20,424.2000,427.8000,422.0000,427.2000,13990500
2025-08-19,417.1000,423.2000,414.1000,422.0000,9893104
2025-08-18,414.4000,415.6000,412.3380,415.6000,7705771
2025-08-15,415.1000,415.8000,411.6000,413.2000,8711230
2025-08-14,415.3000,415.9000,411.1000,414.1000,7046009
2025-08-13,413.1000,417.0000,412.3000,414.6000,18481439
2025-08-12,411.9000,414.9070,411.3000,412.8000,9868333
2025-08-11,409.6000,412.6000,408.2000,411.5000,19907891
2025-08-08,412.7000,413.6000,406.9000,406.9000,20914430
2025-08-07,420.6000,421.3000,409.4000,410.9000,45375434
2025-08-06,422.7000,422.7000,416.6000,421.0000,21380311
2025-08-05,425.2000,425.9000,416.0000,421.8000,24378449
2025-08-04,424.3000,426.8000,422.7600,425.3000,28436961
2025-08-01,425.7000,427.0000,423.3000,424.0000,13910380
2025-07-31,424.8000,426.7000,421.8000,425.4000,17749680
2025-07-30,425.6000,425.8000,421.0000,423.6000,11157210
2025-07-29,423.1000,425.5000,419.7970,425.0000,11105090
2025-07-28,429.7000,430.0000,421.1000,423.5000,6748967
2025-07-25,428.1000,428.8000,424.7000,428.5000,26898100
2025-07-24,426.4000,431.7000,426.4000,428.0000,14774800
2025-07-23,425.9000,429.8000,423.2000,428.0000,12081580
2025-07-22,423.2000,428.1000,422.9000,426.1000,21978490
2025-07-21,415.6000,425.5000,415.6000,424.5000,28791779
2025-07-18,413.2000,417.8000,413.2000,416.2000,9146749
2025-07-17,408.1000,412.9000,408.1000,412.1000,11230470
2025-07-16,407.0000,411.1000,406.8000,407.6000,12365890
2025-07-15,410.4000,410.4000,406.3000,407.8000,8332024
2025-07-14,401.9000,409.8000,401.3000,409.8000,9911312
2025-07-11,401.6000,404.3000,398.7992,401.1000,7866815
2025-07-10,404.5000,404.7000,400.0000,401.1000,12490890
2025-07-09,400.8000,402.7000,397.5000,402.7000,12603470
2025-07-08,402.3000,403.9000,398.1520,400.1000,17543539
2025-07-07,406.1000,407.0000,402.6000,404.1000,9531406
2025-07-04,405.6000,406.6000,402.3000,405.5000,15937170
2025-07-03,396.9000,405.4000,396.6060,405.0000,11326580
2025-07-02,406.9000,407.7000,393.6000,395.8000,26048109
2025-07-01,402.0000,408.0000,401.4000,406.0000,12020850
2025-06-30,402.1000,402.9000,397.3000,401.3000,20082330
2025-06-27,402.3000,407.9000,400.8000,400.9000,26732570
2025-06-26,401.6000,405.3000,400.8000,402.9000,12441390
2025-06-25,402.4000,405.8000,402.0000,402.1000,21654881
2025-06-24,401.1000,404.0000,397.9000,402.5000,21076590
2025-06-23,401.5000,404.2000,400.5000,401.1000,15979570
2025-06-20,401.6000,405.2000,401.3000,402.0000,33357441
2025-06-19,402.0000,404.7000,400.7000,402.2000,14534240
2025-06-18,398.2000,401.5490,397.6000,400.8000,18926270
2025-06-17,393.6000,396.2000,392.3520,396.2000,11570220
2025-06-16,396.8000,397.8000,394.0000,394.1000,23145430
2025-06-13,387.6000,399.3000,386.8000,398.2000,15913180
2025-06-12,389.4000,397.6000,385.2000,391.6000,23315789
2025-06-11,384.3000,386.8000,382.4200,385.3000,18777961
2025-06-10,386.4000,387.3000,382.9000,385.5000,12563980
2025-06-09,391.9000,392.1000,383.2500,384.6000,16308500
2025-06-06,387.8000,392.4000,385.9000,390.6000,12834650
2025-06-05,388.5000,389.7000,385.0000,387.3000,15886170
2025-06-04,390.5000,391.7000,387.6980,388.6000,14450670
2025-06-03,397.9000,398.3000,390.0000,390.0000,17578070
2025-06-02,388.4000,391.8000,387.4000,390.6000,26933199
2025-05-30,384.7000,391.2000,383.7000,388.0000,27554891
2025-05-29,385.6000,385.9000,376.9000,382.5000,15783560
2025-05-28,388.0000,389.7000,385.4000,385.4000,28804400
